Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::__copy_move_a1<false, unsigned int const*, unsigned int*>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::__copy_move_a2<false, unsigned int const*, unsigned int*>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*, unsigned int>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::copy<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
  0.00      0.75     0.00      150     0.00     0.00  void __gnu_cxx::new_allocator<data::analized>::construct<data::analized, data::analized const&>(data::analized*, data::analized const&)
  0.00      0.75     0.00      150     0.00     0.00  void std::allocator_traits<std::allocator<data::analized> >::construct<data::analized, data::analized const&>(std::allocator<data::analized>&, data::analized*, data::analized const&)
  0.00      0.75     0.00      150     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::push_back(data::analized const&)
  0.00      0.75     0.00      150     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00      0.75     0.00       96     0.00     0.00  data::frame_data* std::__niter_base<data::frame_data*>(data::frame_data*)
  0.00      0.75     0.00       90     0.00     0.00  data::analized* std::__niter_base<data::analized*>(data::analized*)
  0.00      0.75     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<data::frame_data*, std::vector<data::frame_data, std::allocator<data::frame_data> > >::base() const
  0.00      0.75     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<data::analized*, std::vector<data::analized, std::allocator<data::analized> > >::base() const
  0.00      0.75     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<data::frame_data>::_M_max_size() const
  0.00      0.75     0.00       45     0.00     0.00  __gnu_cxx::new_allocator<data::analized>::_M_max_size() const
  0.00      0.75     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<data::frame_data*, std::vector<data::frame_data, std::allocator<data::frame_data> > >::__normal_iterator(data::frame_data* const&)
  0.00      0.75     0.00       32     0.00     0.00  __gnu_cxx::new_allocator<data::frame_data>::max_size() const
  0.00      0.75     0.00       32     0.00     0.00  std::_Vector_base<data::frame_data, std::allocator<data::frame_data> >::_M_get_Tp_allocator() const
  0.00      0.75     0.00       32     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::max_size() const
  0.00      0.75     0.00       32     0.00     0.00  std::_Vector_base<data::frame_data, std::allocator<data::frame_data> >::_M_get_Tp_allocator()
  0.00      0.75     0.00       32     0.00     0.00  std::allocator_traits<std::allocator<data::frame_data> >::max_size(std::allocator<data::frame_data> const&)
  0.00      0.75     0.00       32     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::_S_max_size(std::allocator<data::frame_data> const&)
  0.00      0.75     0.00       32     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::_S_relocate(data::frame_data*, data::frame_data*, data::frame_data*, std::allocator<data::frame_data>&)
  0.00      0.75     0.00       32     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::_S_do_relocate(data::frame_data*, data::frame_data*, data::frame_data*, std::allocator<data::frame_data>&, std::integral_constant<bool, true>)
  0.00      0.75     0.00       32     0.00     0.00  data::frame_data* std::__relocate_a<data::frame_data*, data::frame_data*, std::allocator<data::frame_data> >(data::frame_data*, data::frame_data*, data::frame_data*, std::allocator<data::frame_data>&)
  0.00      0.75     0.00       32     0.00     0.00  data::frame_data* std::__relocate_a_1<data::frame_data*, data::frame_data*, std::allocator<data::frame_data> >(data::frame_data*, data::frame_data*, data::frame_data*, std::allocator<data::frame_data>&)
  0.00      0.75     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<data::analized*, std::vector<data::analized, std::allocator<data::analized> > >::__normal_iterator(data::analized* const&)
  0.00      0.75     0.00       30     0.00     0.00  __gnu_cxx::new_allocator<data::analized>::max_size() const
  0.00      0.75     0.00       30     0.00     0.00  std::_Vector_base<data::analized, std::allocator<data::analized> >::_M_get_Tp_allocator() const
  0.00      0.75     0.00       30     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::max_size() const
  0.00      0.75     0.00       30     0.00     0.00  std::_Vector_base<data::analized, std::allocator<data::analized> >::_M_get_Tp_allocator()
  0.00      0.75     0.00       30     0.00     0.00  std::allocator_traits<std::allocator<data::analized> >::max_size(std::allocator<data::analized> const&)
  0.00      0.75     0.00       30     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::_S_max_size(std::allocator<data::analized> const&)
  0.00      0.75     0.00       30     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::_S_relocate(data::analized*, data::analized*, data::analized*, std::allocator<data::analized>&)
  0.00      0.75     0.00       30     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::_S_do_relocate(data::analized*, data::analized*, data::analized*, std::allocator<data::analized>&, std::integral_constant<bool, true>)
  0.00      0.75     0.00       30     0.00     0.00  data::analized* std::__relocate_a<data::analized*, data::analized*, std::allocator<data::analized> >(data::analized*, data::analized*, data::analized*, std::allocator<data::analized>&)
  0.00      0.75     0.00       30     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<data::analized, void>::value, data::analized*>::type std::__relocate_a_1<data::analized, data::analized>(data::analized*, data::analized*, data::analized*, std::allocator<data::analized>&)
  0.00      0.75     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<data::frame_data>::allocate(unsigned long, void const*)
  0.00      0.75     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<data::frame_data*, std::vector<data::frame_data, std::allocator<data::frame_data> > >::difference_type __gnu_cxx::operator-<data::frame_data*, std::vector<data::frame_data, std::allocator<data::frame_data> > >(__gnu_cxx::__normal_iterator<data::frame_data*, std::vector<data::frame_data, std::allocator<data::frame_data> > > const&, __gnu_cxx::__normal_iterator<data::frame_data*, std::vector<data::frame_data, std::allocator<data::frame_data> > > const&)
  0.00      0.75     0.00       16     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::_M_check_len(unsigned long, char const*) const
  0.00      0.75     0.00       16     0.00     0.00  std::_Vector_base<data::frame_data, std::allocator<data::frame_data> >::_M_allocate(unsigned long)
  0.00      0.75     0.00       16     0.00     0.00  std::_Vector_base<data::frame_data, std::allocator<data::frame_data> >::_M_deallocate(data::frame_data*, unsigned long)
  0.00      0.75     0.00       16     0.00     0.00  std::allocator_traits<std::allocator<data::frame_data> >::allocate(std::allocator<data::frame_data>&, unsigned long)
  0.00      0.75     0.00       16     0.00     0.00  void std::vector<data::frame_data, std::allocator<data::frame_data> >::_M_realloc_insert<data::frame_data const&>(__gnu_cxx::__normal_iterator<data::frame_data*, std::vector<data::frame_data, std::allocator<data::frame_data> > >, data::frame_data const&)
  0.00      0.75     0.00       16     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::end()
  0.00      0.75     0.00       16     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::begin()
  0.00      0.75     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<data::analized>::allocate(unsigned long, void const*)
  0.00      0.75     0.00       15     0.00     0.00  __gnu_cxx::__normal_iterator<data::analized*, std::vector<data::analized, std::allocator<data::analized> > >::difference_type __gnu_cxx::operator-<data::analized*, std::vector<data::analized, std::allocator<data::analized> > >(__gnu_cxx::__normal_iterator<data::analized*, std::vector<data::analized, std::allocator<data::analized> > > const&, __gnu_cxx::__normal_iterator<data::analized*, std::vector<data::analized, std::allocator<data::analized> > > const&)
  0.00      0.75     0.00       15     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::_M_check_len(unsigned long, char const*) const
  0.00      0.75     0.00       15     0.00     0.00  std::_Vector_base<data::analized, std::allocator<data::analized> >::_M_allocate(unsigned long)
  0.00      0.75     0.00       15     0.00     0.00  std::_Vector_base<data::analized, std::allocator<data::analized> >::_M_deallocate(data::analized*, unsigned long)
  0.00      0.75     0.00       15     0.00     0.00  std::allocator_traits<std::allocator<data::analized> >::allocate(std::allocator<data::analized>&, unsigned long)
  0.00      0.75     0.00       15     0.00     0.00  void std::vector<data::analized, std::allocator<data::analized> >::_M_realloc_insert<data::analized const&>(__gnu_cxx::__normal_iterator<data::analized*, std::vector<data::analized, std::allocator<data::analized> > >, data::analized const&)
  0.00      0.75     0.00       15     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::end()
  0.00      0.75     0.00       15     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::begin()
  0.00      0.75     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<data::frame_data>::deallocate(data::frame_data*, unsigned long)
  0.00      0.75     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<data::frame_data> >::deallocate(std::allocator<data::frame_data>&, data::frame_data*, unsigned long)
  0.00      0.75     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<data::analized>::deallocate(data::analized*, unsigned long)
  0.00      0.75     0.00       13     0.00     0.00  std::allocator_traits<std::allocator<data::analized> >::deallocate(std::allocator<data::analized>&, data::analized*, unsigned long)
  0.00      0.75     0.00        4     0.00     0.00  data::GetType()
  0.00      0.75     0.00        2     0.00    30.02  data_file_parser::fill_raw()
  0.00      0.75     0.00        2     0.00     0.00  data_file_parser::data_file_parser(data&)
  0.00      0.75     0.00        2     0.00     0.00  data::data(data::data_type_t)
  0.00      0.75     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<data::frame_data>::new_allocator()
  0.00      0.75     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<data::analized>::new_allocator()
  0.00      0.75     0.00        2     0.00     0.00  std::allocator<data::frame_data>::allocator()
  0.00      0.75     0.00        2     0.00     0.00  std::allocator<data::analized>::allocator()
  0.00      0.75     0.00        2     0.00     0.00  std::_Vector_base<data::frame_data, std::allocator<data::frame_data> >::_Vector_impl::_Vector_impl()
  0.00      0.75     0.00        2     0.00     0.00  std::_Vector_base<data::frame_data, std::allocator<data::frame_data> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.75     0.00        2     0.00     0.00  std::_Vector_base<data::frame_data, std::allocator<data::frame_data> >::_Vector_base()
  0.00      0.75     0.00        2     0.00     0.00  std::_Vector_base<data::analized, std::allocator<data::analized> >::_Vector_impl::_Vector_impl()
  0.00      0.75     0.00        2     0.00     0.00  std::_Vector_base<data::analized, std::allocator<data::analized> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.75     0.00        2     0.00     0.00  std::_Vector_base<data::analized, std::allocator<data::analized> >::_Vector_base()
  0.00      0.75     0.00        2     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::vector()
  0.00      0.75     0.00        2     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::vector()
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4dataC2ENS_11data_type_tE
  0.00      0.75     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.75     0.00        1     0.00     0.00  image_analizer::image_analizer(data&)
  0.00      0.75     0.00        1     0.00     0.00  accelerometer_analizer::cook()
  0.00      0.75     0.00        1     0.00     0.00  accelerometer_analizer::accelerometer_analizer(data&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
